youtube_url,audio_video,title,category,sub_category,author,language,channel,duration
https://www.youtube.com/embed/l3ikx5nLnLY,video,"15 דקות מיינדפולנס ברוח קדן",meditation,mindfulness,זיו שנהב,Hebrew,https://www.youtube.com/@Kaden-Foundation,15
https://www.youtube.com/embed/t8pqULX1Wbc,audio,מיינדפולנס - קשיבות מודרכת בשכיבה לסקירת גוף,meditation,mindfulness,המאמנת ליה,Hebrew,https://www.youtube.com/@coach_lia,13
https://www.youtube.com/embed/tAUf7aajBWE,video,Yoga at Your Desk,yoga,Desk Yoga,Yoga With Adriene,English,https://www.youtube.com/@yogawithadriene,6
https://www.youtube.com/embed/WnSr8w4QEWo,video,30 Min FLEXIBILITY + STRETCHING ROUTINE,yoga,Beginners,Eleni Fit,English,https://www.youtube.com/@EleniFit,30
https://www.youtube.com/watch?v=jpPR-hogX4U,video,מדיטציית מיינדפולנס: 20 דקות קשב לנשימות,meditation,mindfulness,מיכל מיינדפולנס,Hebrew,https://www.youtube.com/@user-nb7vj6uq4x,20
https://www.youtube.com/watch?v=Z2xgPFfbSyI,video,"מדיטציה לבוקר - מיקוד, בהירות והשראה ליום חדש - 10 דקות",meditation,morning,יוגה עם סופיה,Hebrew,https://www.youtube.com/@yoga-im-sophia,10
https://www.youtube.com/watch?v=gz0W0XpZqfA,video,מדיטציית טוב לב 20 דקות,meditation,misc,אלה טולנאי,Hebrew,https://www.youtube.com/@Mindbody-Center,20
https://www.youtube.com/embed/oFI50EGYuwI,audio,"i.am.Nãda ft. Dominique Zuniga & Hernán Suárez",music,meditation,Cafe De Anatolia,Any,https://www.youtube.com/@CafeDeAnatolia,71
https://www.youtube.com/embed/565xgOnX74s,video,ORGANIC HOUSE & DOWNTEMPO - Ornaments from Cairo (DJ MIX),music,meditation,Organic House,Any,https://www.youtube.com/@OrganicHouseDowntempo,64
https://www.youtube.com/embed/u1TtULIF-vM,video,"Cafe De Anatolia Band live at Pacman, Santorini",music,meditation,Cafe De Anatolia,Any,https://www.youtube.com/@CafeDeAnatolia,73
https://www.youtube.com/embed/p-U8lztzDtQ,video,לחצות את מימדי הזמן – מדיטציה עם ניסים אמון,meditation,misc,ניסים אמון,Hebrew,https://www.youtube.com/@AmonFilms,16
